complexity,loss,equation,score,sympy_format,lambda_format
1,0.11829218,3.20701,0.0,3.20701000000000,PySRFunction(X=>3.20701000000000)
3,0.0342347,3.676935 - r,0.6199589580495206,3.676935 - r,PySRFunction(X=>3.676935 - r)
5,0.017117618,2.7316575 - (log_r * 0.52871615),0.34656576202670814,2.7316575 - 0.52871615*log_r,PySRFunction(X=>2.7316575 - 0.52871615*log_r)
7,0.0072157234,((log_r / -1.6724663) - min_pixel_source_edge) + 2.7925737,0.4319228874896345,log_r/(-1.6724663) - min_pixel_source_edge + 2.7925737,PySRFunction(X=>log_r/(-1.6724663) - min_pixel_source_edge + 2.7925737)
9,0.005600246,((log_r / (-1.4385831 - pixel_edge)) + 2.7771275) - min_pixel_source_edge,0.12672596259618213,log_r/(-pixel_edge - 1.4385831) - min_pixel_source_edge + 2.7771275,PySRFunction(X=>log_r/(-pixel_edge - 1.4385831) - min_pixel_source_edge + 2.7771275)
11,0.004486599,((min_pixel_source_edge + log_r) / ((-1.2884483 - source_edge) - pixel_edge)) + 2.7490396,0.11085778581829225,(log_r + min_pixel_source_edge)/(-pixel_edge - source_edge - 1.2884483) + 2.7490396,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge - source_edge - 1.2884483) + 2.7490396)
13,0.0036712545,2.7551675 + ((log_r / (-1.1319091 - ((r_source_edge - -0.019637961) / r))) - pixel_edge),0.1002807622203115,log_r/(-1.1319091 - (r_source_edge - 1*(-0.019637961))/r) - pixel_edge + 2.7551675,PySRFunction(X=>log_r/(-1.1319091 - (r_source_edge - 1*(-0.019637961))/r) - pixel_edge + 2.7551675)
15,0.0024310425,((min_pixel_source_edge + log_r) / ((-1.061964 - ((r_source_edge - -0.016502058) / r)) - pixel_edge)) + 2.7053635,0.2061066257859208,(log_r + min_pixel_source_edge)/(-pixel_edge - 1.061964 - (r_source_edge - 1*(-0.016502058))/r) + 2.7053635,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge - 1.061964 - (r_source_edge - 1*(-0.016502058))/r) + 2.7053635)
17,0.0022335974,((min_pixel_source_edge + log_r) / ((-1.0418789 - (((r_source_edge - -0.017753774) / r) + r_pixel_edge)) - pixel_edge)) + 2.717048,0.04235335407676361,(log_r + min_pixel_source_edge)/(-pixel_edge - (r_pixel_edge + (r_source_edge - 1*(-0.017753774))/r) - 1.0418789) + 2.717048,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge - (r_pixel_edge + (r_source_edge - 1*(-0.017753774))/r) - 1.0418789) + 2.717048)
19,0.002226674,((log_r + min_pixel_source_edge) / (((-1.0360644 - ((r_source_edge - -0.018324515) / r)) - pixel_edge) + (r_pixel_edge * -1.2711083))) + 2.7209654,0.0015522386284645526,(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-1.2711083) - 1.0360644 - (r_source_edge - 1*(-0.018324515))/r) + 2.7209654,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-1.2711083) - 1.0360644 - (r_source_edge - 1*(-0.018324515))/r) + 2.7209654)
21,0.002201327,2.716324 + (((min_pixel_source_edge + log_r) / ((-1.0601518 - ((r_source_edge - -0.017218573) / r)) - pixel_edge)) + (pixel_edge2 * (pixel_edge2 - r))),0.0057243159733888025,pixel_edge2*(pixel_edge2 - r) + (log_r + min_pixel_source_edge)/(-pixel_edge - 1.0601518 - (r_source_edge - 1*(-0.017218573))/r) + 2.716324,PySRFunction(X=>pixel_edge2*(pixel_edge2 - r) + (log_r + min_pixel_source_edge)/(-pixel_edge - 1.0601518 - (r_source_edge - 1*(-0.017218573))/r) + 2.716324)
23,0.0021773071,((min_pixel_source_edge + log_r) / (((((-0.21077889 - r2) / 0.26207393) * r_pixel_edge) - pixel_edge) + (-1.0604968 - ((r_source_edge - -0.017666923) / r)))) + 2.7310183,0.005485761175555331,(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-r2 - 0.21077889)/0.26207393 - 1.0604968 - (r_source_edge - 1*(-0.017666923))/r) + 2.7310183,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-r2 - 0.21077889)/0.26207393 - 1.0604968 - (r_source_edge - 1*(-0.017666923))/r) + 2.7310183)
25,0.0021623783,((log_r + min_pixel_source_edge) / ((-1.0543035 - ((r_source_edge - -0.018149506) / r)) + ((r_pixel_edge * (-0.573195 - ((r2 + r_source_edge) / 0.25725678))) - pixel_edge))) + 2.7297046,0.003440078603346165,(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-(r2 + r_source_edge)/0.25725678 - 0.573195) - 1.0543035 - (r_source_edge - 1*(-0.018149506))/r) + 2.7297046,PySRFunction(X=>(log_r + min_pixel_source_edge)/(-pixel_edge + r_pixel_edge*(-(r2 + r_source_edge)/0.25725678 - 0.573195) - 1.0543035 - (r_source_edge - 1*(-0.018149506))/r) + 2.7297046)
27,0.002106678,(((log_r + min_pixel_source_edge) / ((-1.0530715 - ((r_source_edge - -0.01771258) / r)) - pixel_edge)) + 2.7197587) + (pixel_edge2 * (((pixel_edge + -0.9836004) + min_pixel_source_edge) - (log_r * pixel_edge2))),0.013048190780296778,pixel_edge2*(-log_r*pixel_edge2 + min_pixel_source_edge + pixel_edge - 0.9836004) + (log_r + min_pixel_source_edge)/(-pixel_edge - 1.0530715 - (r_source_edge - 1*(-0.01771258))/r) + 2.7197587,PySRFunction(X=>pixel_edge2*(-log_r*pixel_edge2 + min_pixel_source_edge + pixel_edge - 0.9836004) + (log_r + min_pixel_source_edge)/(-pixel_edge - 1.0530715 - (r_source_edge - 1*(-0.01771258))/r) + 2.7197587)
