complexity,loss,equation,score,sympy_format,lambda_format
1,0.05645748,3.2058308,0.0,3.20583080000000,PySRFunction(X=>3.20583080000000)
3,0.014668545,g200 + 3.0047743,0.6738911916142739,g200 + 3.0047743,PySRFunction(X=>g200 + 3.0047743)
5,0.011863992,(log_r * -0.47906494) + 2.7790787,0.10609873735268498,2.7790787 + log_r*(-0.47906494),PySRFunction(X=>2.7790787 + log_r*(-0.47906494))
7,0.0065314807,(log_r * (edge + -0.776423)) + 2.688052,0.2984371297486359,log_r*(edge - 0.776423) + 2.688052,PySRFunction(X=>log_r*(edge - 0.776423) + 2.688052)
9,0.0048817704,((src_edge_wmean2 + -0.6883258) * log_r) + (2.8218799 - edge),0.14556286503512356,-edge + log_r*(src_edge_wmean2 - 0.6883258) + 2.8218799,PySRFunction(X=>-edge + log_r*(src_edge_wmean2 - 0.6883258) + 2.8218799)
11,0.004064427,(log_r * (src_edge_wmean2 + -0.72123086)) + (2.7979984 - (g030 + edge)),0.09161758365229142,log_r*(src_edge_wmean2 - 0.72123086) - (edge + g030) + 2.7979984,PySRFunction(X=>log_r*(src_edge_wmean2 - 0.72123086) - (edge + g030) + 2.7979984)
13,0.0034213485,((((src_edge_mean + -1.3184221) * 0.5468185) * (log_r - edge2)) - edge) + 2.8202817,0.08611900102473301,-edge + (src_edge_mean - 1.3184221)*0.5468185*(-edge2 + log_r) + 2.8202817,PySRFunction(X=>-edge + (src_edge_mean - 1.3184221)*0.5468185*(-edge2 + log_r) + 2.8202817)
15,0.0027581141,((((0.5880375 * src_edge_mean) + -0.76200604) * (log_r - (edge2 - g040))) + 2.7965388) - edge,0.10774381126562739,-edge + (log_r - (edge2 - g040))*(0.5880375*src_edge_mean - 0.76200604) + 2.7965388,PySRFunction(X=>-edge + (log_r - (edge2 - g040))*(0.5880375*src_edge_mean - 0.76200604) + 2.7965388)
17,0.0026405777,((((src_edge_wmean * 0.56243056) + -0.76497096) * ((log_r - (edge2 - g030)) + edge_g080)) - edge) + 2.790827,0.02177471504840548,-edge + (src_edge_wmean*0.56243056 - 0.76497096)*(edge_g080 + log_r - (edge2 - g030)) + 2.790827,PySRFunction(X=>-edge + (src_edge_wmean*0.56243056 - 0.76497096)*(edge_g080 + log_r - (edge2 - g030)) + 2.790827)
21,0.002568481,(((edge2 - edge) * 1.2010847) - g030) + (((log_r * -0.7905871) + 2.7878294) + ((edge_g140 - (src_edge_mean * log_r)) * -0.55804217)),0.006920761348179662,-g030 + log_r*(-0.7905871) + (-edge + edge2)*1.2010847 + (edge_g140 - log_r*src_edge_mean)*(-0.55804217) + 2.7878294,PySRFunction(X=>-g030 + log_r*(-0.7905871) + (-edge + edge2)*1.2010847 + (edge_g140 - log_r*src_edge_mean)*(-0.55804217) + 2.7878294)
23,0.002512168,((edge2 - edge) * 1.1868469) + (((-0.78870505 * log_r) + ((edge_g140 - (src_edge_mean * log_r)) * (edge_g040 + -0.58620507))) + (2.7928858 - g030)),0.011084274116836766,-g030 - 0.78870505*log_r + (-edge + edge2)*1.1868469 + (edge_g040 - 0.58620507)*(edge_g140 - log_r*src_edge_mean) + 2.7928858,PySRFunction(X=>-g030 - 0.78870505*log_r + (-edge + edge2)*1.1868469 + (edge_g040 - 0.58620507)*(edge_g140 - log_r*src_edge_mean) + 2.7928858)
25,0.0024828522,(((edge2 - edge) * 1.2909539) + ((2.8628395 - g030) + ((edge_g140 + -0.98169076) * (edge_g140 - (src_edge_wmean * (-0.5149323 - g140)))))) + (log_r * -0.7471439),0.005869072682304886,-g030 + log_r*(-0.7471439) + (-edge + edge2)*1.2909539 + (edge_g140 - 0.98169076)*(edge_g140 - src_edge_wmean*(-g140 - 0.5149323)) + 2.8628395,PySRFunction(X=>-g030 + log_r*(-0.7471439) + (-edge + edge2)*1.2909539 + (edge_g140 - 0.98169076)*(edge_g140 - src_edge_wmean*(-g140 - 0.5149323)) + 2.8628395)
