complexity,loss,equation,score,sympy_format,lambda_format
1,0.05645748,3.2058308,0.0,3.20583080000000,PySRFunction(X=>3.20583080000000)
3,0.014668545,g200 + 3.0047934,0.6738911916142739,g200 + 3.0047934,PySRFunction(X=>g200 + 3.0047934)
4,0.014108686,sqrt(g200) + 2.8158257,0.03891476914660905,sqrt(g200) + 2.8158257,PySRFunction(X=>sqrt(g200) + 2.8158257)
5,0.011863991,2.7790542 - (log_r * 0.4790898),0.17328278984742537,2.7790542 - 0.4790898*log_r,PySRFunction(X=>2.7790542 - 0.4790898*log_r)
6,0.010558967,sqrt(g200) + (2.8575673 - edge2),0.11653239471436803,-edge2 + sqrt(g200) + 2.8575673,PySRFunction(X=>-edge2 + sqrt(g200) + 2.8575673)
7,0.0069325706,((log_r * -0.60973895) + 2.8293462) - edge,0.42074476915126124,-edge + log_r*(-0.60973895) + 2.8293462,PySRFunction(X=>-edge + log_r*(-0.60973895) + 2.8293462)
8,0.006747954,2.7148342 - (log_r / (exp(edge) * 1.4178483)),0.026991334546407002,2.7148342 - log_r/(exp(edge)*1.4178483),PySRFunction(X=>2.7148342 - log_r/(exp(edge)*1.4178483))
9,0.0054154643,2.7148342 - (((0.9766666 - edge) * log_r) / 1.4178483),0.21998072774303015,2.7148342 - log_r*(0.9766666 - edge)/1.4178483,PySRFunction(X=>2.7148342 - log_r*(0.9766666 - edge)/1.4178483)
10,0.004723425,2.7039516 - (log_r * (0.8247462 - (sqrt(edge) / 1.5948668))),0.13672444803837092,-log_r*(0.8247462 - 0.627011609997775*sqrt(edge)) + 2.7039516,PySRFunction(X=>-log_r*(0.8247462 - 0.627011609997775*sqrt(edge)) + 2.7039516)
11,0.004681199,2.7084694 - ((log_r * exp(0.037341055 - sqrt(edge))) / 1.2427886),0.008979898346456426,-0.835256287022343*log_r*exp(-sqrt(edge)) + 2.7084694,PySRFunction(X=>-0.835256287022343*log_r*exp(-sqrt(edge)) + 2.7084694)
12,0.004413565,2.6991885 - (log_r * ((1.3240626 - sqrt(edge)) / (g020 + 1.5977831))),0.0588715207878098,-log_r*(1.3240626 - sqrt(edge))/(g020 + 1.5977831) + 2.6991885,PySRFunction(X=>-log_r*(1.3240626 - sqrt(edge))/(g020 + 1.5977831) + 2.6991885)
13,0.004371573,2.696466 - ((g020 + (log_r * exp(0.047974546 - sqrt(edge)))) / 1.2208295),0.009559854337276885,-0.819115199952164*g020 - 0.859369756443868*log_r*exp(-sqrt(edge)) + 2.696466,PySRFunction(X=>-0.819115199952164*g020 - 0.859369756443868*log_r*exp(-sqrt(edge)) + 2.696466)
15,0.0043665147,2.696466 - ((((edge_g040 + g020) + log_r) * exp(0.047974546 - sqrt(edge))) / 1.2208295),0.0005788795831168784,-0.859369756443868*(edge_g040 + g020 + log_r)*exp(-sqrt(edge)) + 2.696466,PySRFunction(X=>-0.859369756443868*(edge_g040 + g020 + log_r)*exp(-sqrt(edge)) + 2.696466)
17,0.0043213153,2.695507 - (g020 + (log_r * (exp(((0.85015607 - edge) * 0.11638772) - sqrt(edge)) / 1.2565768))),0.005202657949465712,-g020 - 0.878584251915776*log_r*exp(-sqrt(edge) - 0.11638772*edge) + 2.695507,PySRFunction(X=>-g020 - 0.878584251915776*log_r*exp(-sqrt(edge) - 0.11638772*edge) + 2.695507)
