complexity,loss,equation,score,sympy_format,lambda_format
1,179.3074,53.851696,0.0,53.8516960000000,PySRFunction(X=>53.8516960000000)
3,65.465485,P_total_pairwise_inv + 45.58916,0.503789297090037,P_total_pairwise_inv + 45.58916,PySRFunction(X=>P_total_pairwise_inv + 45.58916)
5,1.4536722,(P_total * 3.3396654) + 27.700323,1.9037150752697527,P_total*3.3396654 + 27.700323,PySRFunction(X=>P_total*3.3396654 + 27.700323)
7,1.184284,((3.56697 - source_edge_wmean) * P_total) + 27.695274,0.10247726704399028,P_total*(3.56697 - source_edge_wmean) + 27.695274,PySRFunction(X=>P_total*(3.56697 - source_edge_wmean) + 27.695274)
9,1.0105231,(((3.5710275 - source_edge_wmean) * P_total) + 29.734211) - P_total_d_min_pairwise,0.07933512749656817,P_total*(3.5710275 - source_edge_wmean) - P_total_d_min_pairwise + 29.734211,PySRFunction(X=>P_total*(3.5710275 - source_edge_wmean) - P_total_d_min_pairwise + 29.734211)
11,0.81736994,(P_total * (((source_edge_wmean * -1.9930127) - d_mean_pairwise) - -4.1406493)) + 28.520025,0.10606580061971867,P_total*(-d_mean_pairwise + source_edge_wmean*(-1.9930127) - 1*(-4.1406493)) + 28.520025,PySRFunction(X=>P_total*(-d_mean_pairwise + source_edge_wmean*(-1.9930127) - 1*(-4.1406493)) + 28.520025)
13,0.72224563,((((source_edge_wmean * -2.1880639) - d_mean_pairwise) - -4.230077) * (P_total - 1.2797543)) + 32.271824,0.06186325326087129,(P_total - 1*1.2797543)*(-d_mean_pairwise + source_edge_wmean*(-2.1880639) - 1*(-4.230077)) + 32.271824,PySRFunction(X=>(P_total - 1*1.2797543)*(-d_mean_pairwise + source_edge_wmean*(-2.1880639) - 1*(-4.230077)) + 32.271824)
15,0.66156125,(P_total * (((source_edge_wmean * -2.0138168) + (-4.278604 / P_max)) - (d_mean_pairwise - 5.3807893))) + 30.17884,0.0438813584651744,P_total*(source_edge_wmean*(-2.0138168) - (d_mean_pairwise - 1*5.3807893) - 4.278604/P_max) + 30.17884,PySRFunction(X=>P_total*(source_edge_wmean*(-2.0138168) - (d_mean_pairwise - 1*5.3807893) - 4.278604/P_max) + 30.17884)
17,0.62505144,(P_total * ((((source_edge_wmean2 + (source_edge_wmean * -2.4880393)) + (-4.222485 / P_max)) - d_mean_pairwise) - -5.407036)) + 30.1529,0.028384310755780125,P_total*(-d_mean_pairwise + source_edge_wmean*(-2.4880393) + source_edge_wmean2 - 1*(-5.407036) - 4.222485/P_max) + 30.1529,PySRFunction(X=>P_total*(-d_mean_pairwise + source_edge_wmean*(-2.4880393) + source_edge_wmean2 - 1*(-5.407036) - 4.222485/P_max) + 30.1529)
19,0.5958412,(P_total * ((source_edge_wmean * -2.9647343) + (((((-4.193535 / P_max) - d_mean_pairwise) - -5.441702) + source_edge_wmean2) + source_edge_wmean2))) + 30.137262,0.02392988086975676,P_total*(-d_mean_pairwise + source_edge_wmean*(-2.9647343) + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.441702) - 4.193535/P_max) + 30.137262,PySRFunction(X=>P_total*(-d_mean_pairwise + source_edge_wmean*(-2.9647343) + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.441702) - 4.193535/P_max) + 30.137262)
21,0.5739364,(((((source_edge_wmean * -3.4405255) + (-4.15613 / P_max)) + ((source_edge_wmean2 - (d_mean_pairwise - 5.473715)) + source_edge_wmean2)) + source_edge_wmean2) * P_total) + 30.118467,0.018727799911594612,P_total*(source_edge_wmean*(-3.4405255) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - (d_mean_pairwise - 1*5.473715) - 4.15613/P_max) + 30.118467,PySRFunction(X=>P_total*(source_edge_wmean*(-3.4405255) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - (d_mean_pairwise - 1*5.473715) - 4.15613/P_max) + 30.118467)
23,0.5667705,(P_total * ((source_edge_wmean2 + (source_edge_wmean * -3.3373446)) + ((source_edge_wmean2 - (d_mean_pairwise - 5.4532757)) + ((-4.2048736 / P_max) + source_edge_wmean2)))) + (30.366686 - source_edge_min),0.0062820644510655135,P_total*(source_edge_wmean*(-3.3373446) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - (d_mean_pairwise - 1*5.4532757) - 4.2048736/P_max) - source_edge_min + 30.366686,PySRFunction(X=>P_total*(source_edge_wmean*(-3.3373446) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - (d_mean_pairwise - 1*5.4532757) - 4.2048736/P_max) - source_edge_min + 30.366686)
25,0.5552285,(((source_edge_min * -0.89530194) + P_total) * ((((source_edge_wmean2 + ((source_edge_wmean * -3.2062867) + source_edge_wmean2)) + ((-4.0897593 / P_max) - d_mean_pairwise)) - -5.3852034) + source_edge_wmean2)) + 30.564463,0.010287359578322167,(P_total + source_edge_min*(-0.89530194))*(-d_mean_pairwise + source_edge_wmean*(-3.2062867) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.3852034) - 4.0897593/P_max) + 30.564463,PySRFunction(X=>(P_total + source_edge_min*(-0.89530194))*(-d_mean_pairwise + source_edge_wmean*(-3.2062867) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.3852034) - 4.0897593/P_max) + 30.564463)
27,0.5509026,(((source_edge_min * (source_edge_min - 1.2847482)) + P_total) * (source_edge_wmean2 + ((((-3.988774 / P_max) - d_mean_pairwise) - -5.354802) + (((source_edge_wmean * -3.194145) + source_edge_wmean2) + source_edge_wmean2)))) + 30.591095,0.003910858355386761,(P_total + source_edge_min*(source_edge_min - 1*1.2847482))*(-d_mean_pairwise + source_edge_wmean*(-3.194145) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.354802) - 3.988774/P_max) + 30.591095,PySRFunction(X=>(P_total + source_edge_min*(source_edge_min - 1*1.2847482))*(-d_mean_pairwise + source_edge_wmean*(-3.194145) + source_edge_wmean2 + source_edge_wmean2 + source_edge_wmean2 - 1*(-5.354802) - 3.988774/P_max) + 30.591095)
