Complexity,Loss,Equation
1,0.05645748,"3.2058308"
3,0.014668545,"g200 + 3.0047934"
4,0.014108686,"sqrt(g200) + 2.8158257"
5,0.011863991,"2.7790542 - (log_r * 0.4790898)"
6,0.010558967,"sqrt(g200) + (2.8575673 - edge2)"
7,0.0069325706,"((log_r * -0.60973895) + 2.8293462) - edge"
8,0.006747954,"2.7148342 - (log_r / (exp(edge) * 1.4178483))"
9,0.0054154643,"2.7148342 - (((0.9766666 - edge) * log_r) / 1.4178483)"
10,0.004723425,"2.7039516 - (log_r * (0.8247462 - (sqrt(edge) / 1.5948668)))"
11,0.004681199,"2.7084694 - ((log_r * exp(0.037341055 - sqrt(edge))) / 1.2427886)"
12,0.004413565,"2.6991885 - (log_r * ((1.3240626 - sqrt(edge)) / (g020 + 1.5977831)))"
13,0.004371573,"2.696466 - ((g020 + (log_r * exp(0.047974546 - sqrt(edge)))) / 1.2208295)"
15,0.0043665147,"2.696466 - ((((edge_g040 + g020) + log_r) * exp(0.047974546 - sqrt(edge))) / 1.2208295)"
17,0.0043213153,"2.695507 - (g020 + (log_r * (exp(((0.85015607 - edge) * 0.11638772) - sqrt(edge)) / 1.2565768)))"
