Complexity,Loss,Equation
1,0.05645748,"3.2058308"
3,0.014668545,"g200 + 3.0047743"
5,0.011863992,"(log_r * -0.47906494) + 2.7790787"
7,0.0065314807,"(log_r * (edge + -0.776423)) + 2.688052"
9,0.0048817704,"((src_edge_wmean2 + -0.6883258) * log_r) + (2.8218799 - edge)"
11,0.004064427,"(log_r * (src_edge_wmean2 + -0.72123086)) + (2.7979984 - (g030 + edge))"
13,0.0034213485,"((((src_edge_mean + -1.3184221) * 0.5468185) * (log_r - edge2)) - edge) + 2.8202817"
15,0.0027581141,"((((0.5880375 * src_edge_mean) + -0.76200604) * (log_r - (edge2 - g040))) + 2.7965388) - edge"
17,0.0026405777,"((((src_edge_wmean * 0.56243056) + -0.76497096) * ((log_r - (edge2 - g030)) + edge_g080)) - edge) + 2.790827"
21,0.002568481,"(((edge2 - edge) * 1.2010847) - g030) + (((log_r * -0.7905871) + 2.7878294) + ((edge_g140 - (src_edge_mean * log_r)) * -0.55804217))"
23,0.002512168,"((edge2 - edge) * 1.1868469) + (((-0.78870505 * log_r) + ((edge_g140 - (src_edge_mean * log_r)) * (edge_g040 + -0.58620507))) + (2.7928858 - g030))"
25,0.0024828522,"(((edge2 - edge) * 1.2909539) + ((2.8628395 - g030) + ((edge_g140 + -0.98169076) * (edge_g140 - (src_edge_wmean * (-0.5149323 - g140)))))) + (log_r * -0.7471439)"
